,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,variety,winery
101149,101149,Spain,"The nose is big and rubbery, with aromas of bacon, tar and black plum. It feels young and choppy, with a lightly herbal berry flavor that turns more roasted in character as the wine opens. This gets the job done despite showing a roasted flavor throughout.",,85,10.0,Northern Spain,Rioja,,Tempranillo,Señorio de Uñuela
101154,101154,Spain,"Orange and nectarine aromas carry the nose to a wide, fairly acidic palate that still manages to fall a little flat in terms of character. Mid-tier notes of orange and stone fruit set up a finish with similar flavors.",Brut Rosé,85,18.0,Catalonia,Cava,,Red Blend,Vilarnau
101155,101155,Spain,"This is solid stuff for the price, with berry and pencil eraser aromas. It feels more soft than hard, with a jammy mouthfeel and grabby tannins in front of berry and plum flavors that turn medicinal.",Crianza,85,5.0,Levante,Utiel-Requena,,Tempranillo,Viña Decana
101222,101222,Spain,"Fairly generous for a bargain-priced, everyday Rioja. There's bacon, rubber, leather and mild oak on the fruity bouquet, while the palate is concentrated, jumpy and hosts honest red berry fruit flavors along with dry oak and a spot of vanilla. Meets any reasonable expectation of what $12 Rioja should be.",,87,12.0,Northern Spain,Rioja,,Tempranillo,Sierra Cantabria
101237,101237,Spain,"Nice for a standard, no-frills type of Rioja. The cherry and raspberry aromas are sweet and clean, while the palate is juicy, fresh and tastes of ripe cherry, berry, vanilla and cream. Offers good clarity, power and depth given its price point.",Crianza,87,8.0,Northern Spain,Rioja,,Tempranillo,Rivarey
101239,101239,Spain,"Slightly dry and leafy on the nose, but with beef jerky, cola and mild raisin aromas. The palate is forward, with controlled heat and tannin along with cola, berry and mushroom flavors. Honest in a traditional way, with a long finish that shows a touch of sweet brown sugar. Drink now.",,87,60.0,Northern Spain,Ribera del Duero,,Tempranillo,Rento
101288,101288,Spain,"Opens with sly, clean mineral and white fruit aromas that hook you into its lively but round palate of citrus, green melon and fresh herbs. There's plenty of fruit and acidity to keep it moving, and overall it's a Verdejo done right.",Old Vines,89,15.0,Northern Spain,Rueda,,Verdejo,Shaya
101303,101303,Spain,"Ripe, stout and concentrated on the bouquet, with cassis and lightly roasted berry aromas. Solid and tannic in the mouth, with full plum and cherry flavors. Finishes big and friendly, with a very mild herbal undertone and a slight dose of sauciness. Very nice RDD.",Crianza,89,27.0,Northern Spain,Ribera del Duero,,Tempranillo,Matarromera
101320,101320,Spain,"This pink rosado is 80% based on Garnacha, and it's attractive, light on its feet and aromatic. In the mouth, it's wide and creamy but healthy, with a chunky feel and enough acidity to propel flavors of strawberry and spice. Smooth and on the full side, but well made and ready to drink.",Rosado,87,10.0,Northern Spain,Rioja,,Rosé,Ilurce
101325,101325,Spain,"Clean and smooth to open, with a hint of salinity, powdered sugar and peach. The palate is sheer and zesty, with lemon, green apple and tangy acidity. Crisp yet angular on the finish, but good in a narrow, lean, drilling sort of way.",,87,18.0,Galicia,Rías Baixas,,Albariño,La Val
101334,101334,Spain,"A snappy, high-acid wine that pulses with red fruit aromas and flavors. It's sheering, which is normal for the Graciano variety, but it also tastes nice while delivering a bolt of raspberry and red plum flavor. Oak comes up late, providing a counterweight of vanilla and dry spice. Nice but like all varietal Gracianos, it's sharp and limited.",,87,45.0,Northern Spain,Rioja,,Graciano,Valserrano
101335,101335,Spain,"Clean, simple and very much in the style that has made Las Brisas a go-to value white. Verdejo, Viura and Sauvignon Blanc are married and happy; the nose delivers peach and green apple, while the palate hits with grapefruit, apple, lime and mineral flavors. Clean, crisp, easygoing.",Las Brisas,87,11.0,Northern Spain,Rueda,,White Blend,Naia
101431,101431,Spain,"This is clean on the nose, with blackberry and plum aromas. It feels full and solid, bearing flavors of black cherry and dark plum, with a meaty undertone. Mint, spice and black fruit notes carry the finish.",Gamonal,85,26.0,Northern Spain,Tierra de León,,Prieto Picudo,Pardevalles
101439,101439,Spain,"The medicinal plum aroma comes with a note of celery as well as anise and/or licorice. It feels tight, with rough tannins, then tastes like fresh red berries and plum. This is a bit edgy and choppy feeling, but solid for the price.",Viñas Viejas,85,12.0,Northern Spain,Vino de la Tierra Ribera del Gállego-Cinco Villas,,Tempranillo,Evohé
101440,101440,Spain,"Baked and heavy, this has prune, raisin and jammy berry aromas. The weightiness carries onto the palate, which is chewy and smooth. Flavors of blackberry, spice and jammy syrup lead to a finish with a chocolaty tone. Tasted twice, with consistent results.",Terra de Fic 1,85,45.0,Catalonia,Priorat,,Red Blend,Ferré I Catasús
101454,101454,Spain,"This smells yeasty and flat, with a heavy, bready quality. The palate feels heady and plump, with a mealy citrus flavor and a lot of foam on the palate. It finishes a little green, grassy and herbal, with a lettuce-like note.",Gran Cuvee Brut,85,24.0,Catalonia,Cava,,Sparkling Blend,Gramona
101522,101522,Spain,"Opens with unique, abnormal aromas of spiced fruit, cardamom and nutmeg. The palate is thick along the edges but lacks body in the middle, while flavors of red berry fruit are chunky, mildly stewy and roasted. Earthy and funky wine, but with good feel and overall good character.",Nuestro,87,27.0,Northern Spain,Ribera del Duero,,Tempranillo,Diaz Bayo
101534,101534,Spain,"Not even El Bosque could escape the difficulties of the cool, extended 2007 vintage. While typically dark and bulky on the nose, it's also dull by Bosque standards, with oaky mocha and coffee stepping in as filler. The body is drawn and tannic, with oak, resin and dark berry flavors. Finishes resiny as well. By no means bad, but given Bosque's precedent it's not stellar.",Finca El Bosque,87,163.0,Northern Spain,Rioja,,Tempranillo,Sierra Cantabria
101586,101586,Spain,"Opens with floral, blueberry aromas, mineral notes and a spot of jammy candy. The palate is alert and well balanced, with grab and juicy flavors of raspberry and plum offset by a wave of buttery oak. Textured, full and satisfying on the finish. Very nice wine.",Crianza,89,27.0,Northern Spain,Ribera del Duero,,Tinto Fino,Legaris
101598,101598,Spain,"A solid, serious Rioja reserva with licorice, leather, char and good berry aromas. The palate is juicy, pure and tastes of clean black cherry and cola flavors. Picks up steam as it opens up, and then finishes with a light butter streak and proper weight. No complaints; almost makes the upper echelon. Drink now through 2012.",Cosme Palacio y Hermanos Reserva,89,30.0,Northern Spain,Rioja,,Tempranillo,Bodegas Palacio
101608,101608,Spain,"Classic Verdejo that won't wow but will definitely get your palate going. Standard but clean grapefruit and gooseberry aromas lead to citric but balanced flavors of orange, grapefruit and pineapple. On the dot in terms of balance. Drink as soon as possible.",,89,11.0,Northern Spain,Rueda,,Verdejo,Montespina
101611,101611,Spain,"Maybe it's the Viura, becuase this $9 wine seems cleaner, rounder and slightly better than the winery's higher-priced pure Verdejos. Look for generic but fresh peach and citrus aromas and then lip-smacking citrus flavors. Finishes composed and clean, with lasting grapefruit flavor. 60% Verdejo and 40% Viura.",Isabelino,87,9.0,Northern Spain,Rueda,,Verdejo-Viura,Reina de Castilla
101618,101618,Spain,"Earthy and baked on the nose, with rubber, black fruits and warm, almost burnt leather notes. The palate has a lively, dense mouthfeel and flavors of earthy berry fruits and raisin. Definitely on the warm and roasted side but still balanced and interesting. Drink now.",Selección,87,18.0,Central Spain,Mentrida,,Red Blend,Arrayán
101621,101621,Spain,"Minerally, dry and clean white wine made from 60% Xarello and 40% Chardonnay. The nose is peachy, while the palate is spritzy and bouncy, with short, slightly creamy apple, melon and papaya flavors that are true to Xarello. Finishes smooth but a little flat.",Petit Albet,87,13.0,Catalonia,Penedès,,White Blend,Albet I Noya
101638,101638,Spain,"Dark and heavily oaked, so if you're into big wines with char, bacon and a lot of spice, this is it...and it's only $14. The palate is tannic and drawing, but lively and loaded with charred, lemony, black fruit flavors. A junior-level, wannabe bigtime Rioja that hints at the region's potential for greatness.",,87,14.0,Northern Spain,Rioja,,Tempranillo,Altino
101737,101737,Spain,"Dry, crisp and nice, this has white fruit aromas that are familiar and friendly. It comes across medium bodied, dusty and yeasty, with an apple accent and a vanilla flavor. The finish is lightly toasted and slightly briny.",Carta Nevada Brut,85,9.0,Catalonia,Cava,,Sparkling Blend,Freixenet
101744,101744,Spain,"This is fruity but simple on the nose, with plum and cherry aromas. It feels jammy and a touch muddled, with boysenberry, plum and blackberry flavors but not much oak character. It's grippy on the finish.",Conde de Valdemar Crianza,85,15.0,Northern Spain,Rioja,,Tempranillo Blend,Bodegas Valdemar
101750,101750,Spain,"Earthy, roasted scents sit atop mild cherry and raspberry aromas that carry a slight green element. It feels shrill but juicy, with red plum and raspberry flavors. It's mild, lightly herbal and snappy on the finish.",Hoya de Cadenas Reserva,85,15.0,Levante,Utiel-Requena,,Tempranillo,Vicente Gandia
101751,101751,Spain,"The tea and raspberry aromas are easygoing, and that best describes this organic Cabernet Sauvignon. It's powerful enough on the palate, with a good berry flavor that tilts towards raspberry. The finish is herbal and peppery.",Organic,85,8.0,Spain Other,Spain,,Cabernet Sauvignon,Vicente Gandia
101761,101761,Spain,"This is sweet Amontillado in fine form. The nose is centered around a core of molasses and brown sugar, while the palate bubbles with maple and toffee. Yes, it's a sweeter-styled Amontillado, but the sugar fades on the palate, leaving only the complex residue of caramel, espresso and burnt cinnamon. A lovely wine for any fan of serious Sherry.",Amontillado,93,20.0,Andalucia,Jerez,,Sherry,Bodegas Dios Baco S.L.
101767,101767,Spain,"Ultra concentrated and sticky, with unctuous but wholesome raisin aromas taken to a level that's almost heavenly. In the mouth, the maple, cinnamon and brown sugar flavors are lusty and satisfying, and the finish never ends. This is P.X. in awesome form.",Don PX,93,29.0,Andalucia,Montilla-Moriles,,Pedro Ximénez,"Bodegas Toro Albala, SL"
101786,101786,Spain,"Molasses, spice, chocolate and pure raisins define this as classic P.X. It's syrupy but not too much so, with maple, cinnamon and brown sugar flavors. For a sweet and candied dessert wine, it has excellent balance and persistence. A star among many in this category; these wines are hard not to like.",Añada,92,18.0,Andalucia,Montilla-Moriles,,Pedro Ximénez,Alvear
101808,101808,Spain,"For an old wine from a weak vintage, this has its positives. For starters, the nose offers a nice mix of dried fruit, tobacco, cedar and fig paste, while the palate is properly acidic and tastes of red plum, raspberry and oak-driven vanilla. At its drinking peak now; with preserved juiciness and lots of kick.",Vendimia Seleccionada 24 Meses en Barrica,87,27.0,Northern Spain,Vino de la Tierra de Castilla y León,,Tempranillo,Yllera
101813,101813,Spain,"Nothing over the top but well made and clean, with red fruit aromas that don't overpower. Flavors of peppy plum and berry flavors come across bright and zesty. A comfortable everyday red with with good follow-through and no off aromas, flavors or textures.",,86,10.0,Northern Spain,Rioja,,Tempranillo,El Circulo
